"oid" ,"typname"                              ,"typnamespace" ,"typowner" ,"typlen" ,"typbyval" ,"typtype" ,"typcategory" ,"typispreferred" ,"typisdefined" ,"typdelim" ,"typrelid" ,"typsubscript"              ,"typelem" ,"typarray" ,"typinput"                   ,"typoutput"                   ,"typreceive"                   ,"typsend"                      ,"typmodin"          ,"typmodout"          ,"typanalyze"          ,"typalign" ,"typstorage" ,"typnotnull" ,"typbasetype" ,"typtypmod" ,"typndims" ,"typcollation" ,"typdefaultbin"                                             ,"typdefault"         ,"typacl"
   16 ,bool                                   ,            11 ,        10 ,1        ,true       ,b         ,B             ,true             ,true           ,","        ,         0 ,-                           ,        0 ,      1000 ,boolin                       ,boolout                       ,boolrecv                       ,boolsend                       ,-                   ,-                    ,-                     ,c          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   17 ,bytea                                  ,            11 ,        10 ,-1       ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1001 ,byteain                      ,byteaout                      ,bytearecv                      ,byteasend                      ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   18 ,char                                   ,            11 ,        10 ,1        ,true       ,b         ,Z             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1002 ,charin                       ,charout                       ,charrecv                       ,charsend                       ,-                   ,-                    ,-                     ,c          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   19 ,name                                   ,            11 ,        10 ,64       ,false      ,b         ,S             ,false            ,true           ,","        ,         0 ,raw_array_subscript_handler ,       18 ,      1003 ,namein                       ,nameout                       ,namerecv                       ,namesend                       ,-                   ,-                    ,-                     ,c          ,p            ,false        ,            0 ,-1          ,         0 ,           950 ,                                                            ,                     ,
   20 ,int8                                   ,            11 ,        10 ,8        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1016 ,int8in                       ,int8out                       ,int8recv                       ,int8send                       ,-                   ,-                    ,-                     ,d          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   21 ,int2                                   ,            11 ,        10 ,2        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1005 ,int2in                       ,int2out                       ,int2recv                       ,int2send                       ,-                   ,-                    ,-                     ,s          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   22 ,int2vector                             ,            11 ,        10 ,-1       ,false      ,b         ,A             ,false            ,true           ,","        ,         0 ,array_subscript_handler     ,       21 ,      1006 ,int2vectorin                 ,int2vectorout                 ,int2vectorrecv                 ,int2vectorsend                 ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   23 ,int4                                   ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1007 ,int4in                       ,int4out                       ,int4recv                       ,int4send                       ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   24 ,regproc                                ,            11 ,        10 ,4        ,true       ,b         ,N             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1008 ,regprocin                    ,regprocout                    ,regprocrecv                    ,regprocsend                    ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   25 ,text                                   ,            11 ,        10 ,-1       ,false      ,b         ,S             ,true             ,true           ,","        ,         0 ,-                           ,        0 ,      1009 ,textin                       ,textout                       ,textrecv                       ,textsend                       ,-                   ,-                    ,-                     ,i          ,x            ,false        ,            0 ,-1          ,         0 ,           100 ,                                                            ,                     ,
   26 ,oid                                    ,            11 ,        10 ,4        ,true       ,b         ,N             ,true             ,true           ,","        ,         0 ,-                           ,        0 ,      1028 ,oidin                        ,oidout                        ,oidrecv                        ,oidsend                        ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   27 ,tid                                    ,            11 ,        10 ,6        ,false      ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1010 ,tidin                        ,tidout                        ,tidrecv                        ,tidsend                        ,-                   ,-                    ,-                     ,s          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
   28 ,xid                                    ,            11 ,        10 ,4        ,true       ,b         ,U             ,false            ,true           ,","        ,         0 ,-                           ,        0 ,      1011 ,xidin                        ,xidout                        ,xidrecv                        ,xidsend                        ,-                   ,-                    ,-                     ,i          ,p            ,false        ,            0 ,-1          ,         0 ,             0 ,                                                            ,                     ,
